<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>,<VOL>
ROSN,D,20210104,000000,436.0000000,6387860
ROSN,D,20210105,000000,449.3500000,6724540
ROSN,D,20210106,000000,453.7000000,8220600
ROSN,D,20210108,000000,478.2000000,12695070
ROSN,D,20210111,000000,473.2500000,8789190
ROSN,D,20210112,000000,474.4000000,7081940
ROSN,D,20210113,000000,485.9500000,15288640
ROSN,D,20210114,000000,505.0000000,15394440
ROSN,D,20210115,000000,512.2000000,17888660
ROSN,D,20210118,000000,516.5000000,10712490
ROSN,D,20210119,000000,510.7000000,12517910
ROSN,D,20210120,000000,510.6500000,4873080
ROSN,D,20210121,000000,498.0000000,9246850
ROSN,D,20210122,000000,494.2500000,8705980
ROSN,D,20210125,000000,495.6000000,7532280
ROSN,D,20210126,000000,493.9500000,4496630
ROSN,D,20210127,000000,481.2500000,9576050
ROSN,D,20210128,000000,483.4000000,6058190
ROSN,D,20210129,000000,473.0000000,5551670
ROSN,D,20210201,000000,478.3500000,6888020
ROSN,D,20210202,000000,482.0000000,10407770
ROSN,D,20210203,000000,489.9500000,7491510
ROSN,D,20210204,000000,489.2000000,7943360
ROSN,D,20210205,000000,493.9500000,7633720
ROSN,D,20210208,000000,501.7500000,7730520
ROSN,D,20210209,000000,494.8000000,6755720
ROSN,D,20210210,000000,491.4500000,5608620
ROSN,D,20210211,000000,496.8000000,6677070
ROSN,D,20210212,000000,509.3500000,11944760
ROSN,D,20210215,000000,521.4500000,8808290
ROSN,D,20210216,000000,525.6000000,8703560
ROSN,D,20210217,000000,515.1500000,11446210
ROSN,D,20210218,000000,506.8500000,9681490
ROSN,D,20210219,000000,512.7500000,7455920
ROSN,D,20210220,000000,513.1500000,909640
ROSN,D,20210222,000000,516.0000000,4532080
ROSN,D,20210224,000000,518.2500000,6755490
ROSN,D,20210225,000000,529.3500000,13381440
ROSN,D,20210226,000000,523.3500000,10083590
ROSN,D,20210301,000000,524.1000000,4862650
ROSN,D,20210302,000000,526.0000000,4799200
ROSN,D,20210303,000000,533.8000000,5959660
ROSN,D,20210304,000000,540.1000000,12456910
ROSN,D,20210305,000000,561.0000000,13674760
ROSN,D,20210309,000000,570.6000000,14348590
ROSN,D,20210310,000000,561.1500000,9579490
ROSN,D,20210311,000000,572.0000000,9568100
ROSN,D,20210312,000000,572.2500000,5931120
ROSN,D,20210315,000000,576.4000000,9924110
ROSN,D,20210316,000000,571.2000000,17699060
ROSN,D,20210317,000000,555.8500000,15227090
ROSN,D,20210318,000000,544.0500000,12354360
ROSN,D,20210319,000000,560.3000000,9317510
ROSN,D,20210322,000000,562.6500000,7502970
ROSN,D,20210323,000000,565.1000000,8302870
ROSN,D,20210324,000000,568.0500000,7805500
ROSN,D,20210325,000000,574.6500000,6834050
ROSN,D,20210326,000000,582.2000000,10211450
ROSN,D,20210329,000000,575.3000000,8310250
ROSN,D,20210330,000000,570.2500000,6151980
ROSN,D,20210331,000000,572.6000000,9089920
ROSN,D,20210401,000000,568.9000000,11593270
ROSN,D,20210402,000000,566.6500000,1029300
ROSN,D,20210405,000000,560.1500000,3133260
ROSN,D,20210406,000000,547.5500000,5960860
ROSN,D,20210407,000000,551.5000000,6156110
ROSN,D,20210408,000000,549.3000000,4636060
ROSN,D,20210409,000000,538.0000000,6256000
ROSN,D,20210412,000000,540.1500000,6139660
ROSN,D,20210413,000000,551.9500000,4892780
ROSN,D,20210414,000000,552.1000000,5658280
ROSN,D,20210415,000000,556.5000000,6284300
ROSN,D,20210416,000000,555.0500000,4001960
ROSN,D,20210419,000000,548.0500000,3363600
ROSN,D,20210420,000000,541.0500000,5466560
ROSN,D,20210421,000000,545.7000000,2814680
ROSN,D,20210422,000000,541.6000000,5871040
ROSN,D,20210423,000000,538.5000000,5056970
ROSN,D,20210426,000000,530.6000000,5746610
ROSN,D,20210427,000000,528.0000000,4247670
ROSN,D,20210428,000000,527.9500000,4575220
ROSN,D,20210429,000000,528.7500000,6331160
ROSN,D,20210430,000000,525.2000000,5133150
ROSN,D,20210504,000000,537.1500000,5102830
ROSN,D,20210505,000000,538.6500000,6084410
ROSN,D,20210506,000000,538.5500000,4533640
ROSN,D,20210507,000000,536.2000000,3166660
ROSN,D,20210510,000000,541.9500000,5096230
ROSN,D,20210511,000000,532.0000000,5230870
ROSN,D,20210512,000000,542.2000000,8515340
ROSN,D,20210513,000000,550.0000000,6446300
ROSN,D,20210514,000000,545.6500000,4089830
ROSN,D,20210517,000000,545.5500000,3852360
ROSN,D,20210518,000000,540.4500000,5971840
ROSN,D,20210519,000000,529.5000000,4943050
ROSN,D,20210520,000000,517.3500000,6585010
ROSN,D,20210521,000000,525.5500000,5372140
ROSN,D,20210524,000000,523.9500000,3162900
ROSN,D,20210525,000000,524.3500000,3535020
ROSN,D,20210526,000000,525.8500000,3743550
ROSN,D,20210527,000000,525.2000000,4313580
ROSN,D,20210528,000000,523.3500000,2860970
ROSN,D,20210531,000000,531.4000000,2560760
ROSN,D,20210601,000000,544.0000000,9934530
ROSN,D,20210602,000000,552.0000000,8902240
