<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>,<VOL>
SBER,D,20210104,000000,272.0000000,48799460
SBER,D,20210105,000000,275.2000000,45554100
SBER,D,20210106,000000,272.9300000,40905340
SBER,D,20210108,000000,283.6400000,88672940
SBER,D,20210111,000000,289.4900000,112210400
SBER,D,20210112,000000,289.9900000,78890100
SBER,D,20210113,000000,283.7800000,67489780
SBER,D,20210114,000000,284.7900000,74616910
SBER,D,20210115,000000,276.9000000,73687110
SBER,D,20210118,000000,279.7900000,73676310
SBER,D,20210119,000000,278.1900000,55682850
SBER,D,20210120,000000,279.8000000,47858610
SBER,D,20210121,000000,274.4000000,83765230
SBER,D,20210122,000000,268.2500000,86899970
SBER,D,20210125,000000,265.3000000,114068450
SBER,D,20210126,000000,269.3400000,75094890
SBER,D,20210127,000000,265.5000000,100046360
SBER,D,20210128,000000,265.9600000,81088040
SBER,D,20210129,000000,258.1100000,120025230
SBER,D,20210201,000000,263.8000000,63050800
SBER,D,20210202,000000,263.1500000,79360220
SBER,D,20210203,000000,263.5300000,77585700
SBER,D,20210204,000000,270.1100000,78873410
SBER,D,20210205,000000,271.7000000,71697410
SBER,D,20210208,000000,275.2000000,51720410
SBER,D,20210209,000000,268.9800000,91773840
SBER,D,20210210,000000,265.9000000,63033470
SBER,D,20210211,000000,264.7000000,38615960
SBER,D,20210212,000000,266.0000000,81585980
SBER,D,20210215,000000,271.8100000,56766380
SBER,D,20210216,000000,270.9000000,62992920
SBER,D,20210217,000000,270.9000000,79087080
SBER,D,20210218,000000,266.9900000,58686040
SBER,D,20210219,000000,271.3400000,59193580
SBER,D,20210220,000000,270.5100000,8738250
SBER,D,20210222,000000,273.7100000,48095910
SBER,D,20210224,000000,271.9000000,64101830
SBER,D,20210225,000000,270.7100000,79566390
SBER,D,20210226,000000,270.1700000,74446940
SBER,D,20210301,000000,273.5800000,35741070
SBER,D,20210302,000000,279.1000000,71481180
SBER,D,20210303,000000,278.0100000,64113880
SBER,D,20210304,000000,274.7500000,91841080
SBER,D,20210305,000000,277.5000000,83301590
SBER,D,20210309,000000,285.7900000,72592390
SBER,D,20210310,000000,282.2400000,55067560
SBER,D,20210311,000000,286.0000000,47203100
SBER,D,20210312,000000,284.9300000,51362640
SBER,D,20210315,000000,292.7400000,67756210
SBER,D,20210316,000000,292.3300000,53891160
SBER,D,20210317,000000,283.3500000,110247040
SBER,D,20210318,000000,279.2500000,74060790
SBER,D,20210319,000000,285.4700000,84214320
SBER,D,20210322,000000,288.6500000,62697960
SBER,D,20210323,000000,282.6000000,70668340
SBER,D,20210324,000000,285.7900000,46388650
SBER,D,20210325,000000,286.6600000,35114120
SBER,D,20210326,000000,291.2200000,55889260
SBER,D,20210329,000000,293.3000000,43631060
SBER,D,20210330,000000,293.2500000,38637210
SBER,D,20210331,000000,291.0200000,46972400
SBER,D,20210401,000000,290.2400000,51532880
SBER,D,20210402,000000,291.7000000,19262050
SBER,D,20210405,000000,288.7800000,35298970
SBER,D,20210406,000000,281.5000000,77497430
SBER,D,20210407,000000,283.9800000,74087530
SBER,D,20210408,000000,283.8900000,51161440
SBER,D,20210409,000000,281.0700000,40018040
SBER,D,20210412,000000,281.7500000,57020860
SBER,D,20210413,000000,287.9500000,67878750
SBER,D,20210414,000000,287.1800000,58993600
SBER,D,20210415,000000,283.7200000,87528200
SBER,D,20210416,000000,288.5000000,63355410
SBER,D,20210419,000000,287.7200000,51231790
SBER,D,20210420,000000,287.4200000,63069010
SBER,D,20210421,000000,289.2500000,49661560
SBER,D,20210422,000000,292.1800000,73621930
SBER,D,20210423,000000,293.1900000,42551750
SBER,D,20210426,000000,295.2700000,45676020
SBER,D,20210427,000000,298.5000000,62822260
SBER,D,20210428,000000,298.4900000,40549200
SBER,D,20210429,000000,297.1000000,56771630
SBER,D,20210430,000000,297.7300000,35662800
SBER,D,20210504,000000,303.7000000,60366580
SBER,D,20210505,000000,305.9900000,41550150
SBER,D,20210506,000000,314.7200000,62553900
SBER,D,20210507,000000,317.9400000,56349650
SBER,D,20210510,000000,320.1900000,59207110
SBER,D,20210511,000000,307.1600000,79006340
SBER,D,20210512,000000,302.0200000,56079760
SBER,D,20210513,000000,306.7400000,57632810
SBER,D,20210514,000000,304.1000000,26784400
SBER,D,20210517,000000,303.9400000,28344110
SBER,D,20210518,000000,305.7800000,35434660
SBER,D,20210519,000000,297.0000000,71633830
SBER,D,20210520,000000,296.7200000,58479500
SBER,D,20210521,000000,301.2300000,51370530
SBER,D,20210524,000000,300.7000000,30764260
SBER,D,20210525,000000,306.8000000,37526860
SBER,D,20210526,000000,307.0100000,35255410
SBER,D,20210527,000000,312.7200000,70727920
SBER,D,20210528,000000,309.5600000,35412970
SBER,D,20210531,000000,310.7900000,23651780
SBER,D,20210601,000000,311.6000000,37510420
SBER,D,20210602,000000,313.9800000,26981700
