<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>,<VOL>
SIBN,D,20210104,000000,322.7500000,1336920
SIBN,D,20210105,000000,323.9000000,871870
SIBN,D,20210106,000000,326.7000000,2252750
SIBN,D,20210108,000000,337.0000000,3120920
SIBN,D,20210111,000000,334.3000000,2440180
SIBN,D,20210112,000000,334.3000000,1661440
SIBN,D,20210113,000000,333.7500000,1540860
SIBN,D,20210114,000000,342.1000000,3478220
SIBN,D,20210115,000000,341.3500000,3069390
SIBN,D,20210118,000000,339.8000000,1264970
SIBN,D,20210119,000000,337.3000000,1103400
SIBN,D,20210120,000000,338.7000000,852270
SIBN,D,20210121,000000,332.3000000,1998540
SIBN,D,20210122,000000,323.5000000,2152070
SIBN,D,20210125,000000,325.2000000,1087440
SIBN,D,20210126,000000,325.8500000,894580
SIBN,D,20210127,000000,322.0000000,975040
SIBN,D,20210128,000000,322.2000000,1067540
SIBN,D,20210129,000000,315.7000000,1789280
SIBN,D,20210201,000000,315.0000000,1027440
SIBN,D,20210202,000000,320.7500000,1817210
SIBN,D,20210203,000000,318.5000000,1263690
SIBN,D,20210204,000000,325.8500000,1933860
SIBN,D,20210205,000000,334.9500000,2992930
SIBN,D,20210208,000000,343.1000000,2112590
SIBN,D,20210209,000000,339.5000000,2369910
SIBN,D,20210210,000000,333.0000000,1444740
SIBN,D,20210211,000000,331.3000000,2022810
SIBN,D,20210212,000000,339.0000000,2054400
SIBN,D,20210215,000000,344.2000000,2296930
SIBN,D,20210216,000000,346.6000000,2503550
SIBN,D,20210217,000000,347.6500000,3309880
SIBN,D,20210218,000000,338.1000000,2200780
SIBN,D,20210219,000000,338.2000000,1561100
SIBN,D,20210220,000000,340.0000000,397650
SIBN,D,20210222,000000,340.3500000,953250
SIBN,D,20210224,000000,344.0000000,1481790
SIBN,D,20210225,000000,348.9500000,2152580
SIBN,D,20210226,000000,339.0000000,1520490
SIBN,D,20210301,000000,343.8000000,873930
SIBN,D,20210302,000000,346.7000000,1759040
SIBN,D,20210303,000000,343.9500000,1362870
SIBN,D,20210304,000000,346.9000000,1114220
SIBN,D,20210305,000000,359.3000000,4840160
SIBN,D,20210309,000000,377.0000000,5064110
SIBN,D,20210310,000000,372.4000000,2741690
SIBN,D,20210311,000000,378.3500000,2325130
SIBN,D,20210312,000000,381.5000000,2647190
SIBN,D,20210315,000000,384.5000000,2558880
SIBN,D,20210316,000000,382.8000000,1432300
SIBN,D,20210317,000000,373.5000000,1651970
SIBN,D,20210318,000000,369.3000000,2466950
SIBN,D,20210319,000000,369.1500000,2008470
SIBN,D,20210322,000000,372.2500000,1022600
SIBN,D,20210323,000000,367.5000000,1511500
SIBN,D,20210324,000000,370.4500000,1549000
SIBN,D,20210325,000000,365.2000000,688560
SIBN,D,20210326,000000,371.0000000,856370
SIBN,D,20210329,000000,372.1500000,1109850
SIBN,D,20210330,000000,377.2000000,1260400
SIBN,D,20210331,000000,370.0000000,1986840
SIBN,D,20210401,000000,368.1500000,1624290
SIBN,D,20210402,000000,371.6500000,560830
SIBN,D,20210405,000000,371.8500000,428130
SIBN,D,20210406,000000,365.5500000,1642140
SIBN,D,20210407,000000,362.5000000,2168660
SIBN,D,20210408,000000,364.0000000,840960
SIBN,D,20210409,000000,355.2000000,1847010
SIBN,D,20210412,000000,357.0000000,1107510
SIBN,D,20210413,000000,354.0500000,1219270
SIBN,D,20210414,000000,359.0000000,2473840
SIBN,D,20210415,000000,354.0000000,2440980
SIBN,D,20210416,000000,358.0000000,1612630
SIBN,D,20210419,000000,352.8500000,940060
SIBN,D,20210420,000000,354.5000000,2173570
SIBN,D,20210421,000000,361.5500000,1326690
SIBN,D,20210422,000000,358.0000000,2031060
SIBN,D,20210423,000000,364.4500000,3181070
SIBN,D,20210426,000000,365.5000000,1192860
SIBN,D,20210427,000000,363.0000000,1231020
SIBN,D,20210428,000000,356.9000000,1301760
SIBN,D,20210429,000000,363.2500000,1593710
SIBN,D,20210430,000000,361.2000000,1153620
SIBN,D,20210504,000000,365.0000000,788550
SIBN,D,20210505,000000,368.6000000,1003440
SIBN,D,20210506,000000,370.5000000,1096220
SIBN,D,20210507,000000,374.2500000,720570
SIBN,D,20210510,000000,373.0500000,727780
SIBN,D,20210511,000000,367.2000000,1186260
SIBN,D,20210512,000000,370.5000000,719830
SIBN,D,20210513,000000,370.0000000,785210
SIBN,D,20210514,000000,373.1000000,599600
SIBN,D,20210517,000000,373.2000000,613010
SIBN,D,20210518,000000,377.0000000,1126630
SIBN,D,20210519,000000,366.3000000,1458270
SIBN,D,20210520,000000,365.7000000,999100
SIBN,D,20210521,000000,373.5000000,832260
SIBN,D,20210524,000000,378.0000000,876690
SIBN,D,20210525,000000,377.4500000,1283850
SIBN,D,20210526,000000,382.5500000,1233040
SIBN,D,20210527,000000,379.3500000,636530
SIBN,D,20210528,000000,379.0500000,1188710
SIBN,D,20210531,000000,383.3500000,549880
SIBN,D,20210601,000000,393.0500000,1470540
SIBN,D,20210602,000000,399.9000000,2295290
