<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>,<VOL>
YNDX,D,20210104,000000,5185.2000000,574279
YNDX,D,20210105,000000,5340.4000000,688355
YNDX,D,20210106,000000,5188.8000000,806459
YNDX,D,20210108,000000,5254.2000000,892172
YNDX,D,20210111,000000,5214.2000000,797440
YNDX,D,20210112,000000,5121.8000000,626655
YNDX,D,20210113,000000,5079.8000000,554710
YNDX,D,20210114,000000,5077.4000000,740196
YNDX,D,20210115,000000,4998.0000000,796721
YNDX,D,20210118,000000,5043.6000000,534674
YNDX,D,20210119,000000,5008.8000000,646875
YNDX,D,20210120,000000,5170.0000000,819724
YNDX,D,20210121,000000,5069.0000000,1020112
YNDX,D,20210122,000000,5015.8000000,577323
YNDX,D,20210125,000000,4901.8000000,1249250
YNDX,D,20210126,000000,4898.2000000,1012315
YNDX,D,20210127,000000,4828.4000000,1030102
YNDX,D,20210128,000000,4876.2000000,478920
YNDX,D,20210129,000000,4760.6000000,809513
YNDX,D,20210201,000000,4847.4000000,573930
YNDX,D,20210202,000000,4997.0000000,846570
YNDX,D,20210203,000000,4917.2000000,673322
YNDX,D,20210204,000000,5016.6000000,686670
YNDX,D,20210205,000000,4973.6000000,580426
YNDX,D,20210208,000000,5060.4000000,555898
YNDX,D,20210209,000000,5147.2000000,787338
YNDX,D,20210210,000000,5306.0000000,1508444
YNDX,D,20210211,000000,5361.6000000,912316
YNDX,D,20210212,000000,5448.0000000,1040840
YNDX,D,20210215,000000,5478.0000000,576146
YNDX,D,20210216,000000,5348.0000000,1160561
YNDX,D,20210217,000000,5187.0000000,1368065
YNDX,D,20210218,000000,5007.8000000,1181958
YNDX,D,20210219,000000,5005.0000000,1449078
YNDX,D,20210220,000000,5064.0000000,196731
YNDX,D,20210222,000000,4918.0000000,908836
YNDX,D,20210224,000000,4928.2000000,1001828
YNDX,D,20210225,000000,4857.4000000,906961
YNDX,D,20210226,000000,4813.2000000,1438926
YNDX,D,20210301,000000,5004.6000000,1090605
YNDX,D,20210302,000000,5027.0000000,683676
YNDX,D,20210303,000000,4890.2000000,1021134
YNDX,D,20210304,000000,4718.2000000,1342783
YNDX,D,20210305,000000,4722.8000000,1438430
YNDX,D,20210309,000000,4707.6000000,1501368
YNDX,D,20210310,000000,4692.0000000,1117692
YNDX,D,20210311,000000,4889.8000000,941686
YNDX,D,20210312,000000,4960.4000000,757248
YNDX,D,20210315,000000,5039.0000000,1138969
YNDX,D,20210316,000000,5161.8000000,1550466
YNDX,D,20210317,000000,5037.6000000,1872694
YNDX,D,20210318,000000,4858.0000000,1791738
YNDX,D,20210319,000000,4880.0000000,1153421
YNDX,D,20210322,000000,4891.0000000,539226
YNDX,D,20210323,000000,4906.0000000,669877
YNDX,D,20210324,000000,4850.0000000,845120
YNDX,D,20210325,000000,4741.0000000,1120317
YNDX,D,20210326,000000,4785.0000000,798846
YNDX,D,20210329,000000,4830.0000000,620133
YNDX,D,20210330,000000,4788.0000000,715561
YNDX,D,20210331,000000,4859.0000000,1119731
YNDX,D,20210401,000000,4949.2000000,832481
YNDX,D,20210402,000000,4935.0000000,294486
YNDX,D,20210405,000000,4940.0000000,409203
YNDX,D,20210406,000000,4961.8000000,691979
YNDX,D,20210407,000000,4845.2000000,666770
YNDX,D,20210408,000000,4888.0000000,700448
YNDX,D,20210409,000000,4813.0000000,469363
YNDX,D,20210412,000000,4854.8000000,627250
YNDX,D,20210413,000000,4600.0000000,3817613
YNDX,D,20210414,000000,4661.0000000,2828314
YNDX,D,20210415,000000,4677.8000000,988193
YNDX,D,20210416,000000,4690.0000000,553149
YNDX,D,20210419,000000,4663.8000000,953222
YNDX,D,20210420,000000,4665.6000000,796491
YNDX,D,20210421,000000,4648.0000000,423533
YNDX,D,20210422,000000,4605.0000000,850772
YNDX,D,20210423,000000,4570.2000000,831281
YNDX,D,20210426,000000,4703.6000000,1112408
YNDX,D,20210427,000000,4732.0000000,993756
YNDX,D,20210428,000000,4834.8000000,2009902
YNDX,D,20210429,000000,5040.0000000,1769231
YNDX,D,20210430,000000,4934.8000000,1318008
YNDX,D,20210504,000000,4802.2000000,987366
YNDX,D,20210505,000000,4864.4000000,698437
YNDX,D,20210506,000000,4828.6000000,770602
YNDX,D,20210507,000000,4831.6000000,514574
YNDX,D,20210510,000000,4702.8000000,679601
YNDX,D,20210511,000000,4678.0000000,1203590
YNDX,D,20210512,000000,4601.0000000,964585
YNDX,D,20210513,000000,4638.4000000,836836
YNDX,D,20210514,000000,4687.0000000,503970
YNDX,D,20210517,000000,4704.2000000,537501
YNDX,D,20210518,000000,4740.0000000,967606
YNDX,D,20210519,000000,4741.6000000,594753
YNDX,D,20210520,000000,4750.8000000,549267
YNDX,D,20210521,000000,4767.2000000,635993
YNDX,D,20210524,000000,4891.8000000,785575
YNDX,D,20210525,000000,4897.8000000,489356
YNDX,D,20210526,000000,4995.4000000,728677
YNDX,D,20210527,000000,4962.2000000,1123473
YNDX,D,20210528,000000,4945.0000000,363633
YNDX,D,20210531,000000,4942.0000000,231371
YNDX,D,20210601,000000,4933.0000000,581810
YNDX,D,20210602,000000,4948.0000000,680065
